bmg_alloy,paper_sno,actual_d_max
Al12.0Ni9.25Cu27.7Hf51.0,"[1, 5, 6, 7, 9]",8
Al15.0Co25.0Gd60.0,"[1, 5, 6, 7, 9]",5
Al25.0Ni15.0Gd60.0,"[1, 5, 6, 7]",4
Al7.5Ni10.0Cu17.5Zr65.0,"[1, 5, 6, 7, 9]",16
Al10.0Ti5.0Ni8.0Cu20.0Zr57.0,"[1, 5, 6, 7]",10
Al5.6Ni6.5Cu22.4Zr65.5,"[1, 5, 6, 7]",3
Cu46.0Zr54.0,"[1, 5, 6, 7, 9]",2
Al7.0Cu46.0Zr47.0,"[1, 5, 6, 7, 9]",3
Be22.5C2.0Ti14.0Ni8.0Cu12.5Zr41.0,"[1, 5, 9, 6]",5
Be22.5C8.0Ti14.0Ni2.0Cu12.5Zr41.0,"[1, 5, 9, 6]",3
Be20.0Mg24.0Ti10.0Ni8.0Cu8.0Y4.0Zr26.0,"[1, 5, 6, 7, 9]",5
Be21.5Mg0.5Ti15.0Ni11.0Cu11.0Y1.0Zr40.0,"[1, 5, 6, 7, 9]",5
Be18.0Ni12.0Cu14.0Zr48.0Nb8.0,"[1, 5, 6, 7, 9]",8
Be24.0Fe8.0Cu12.0Zr48.0Nb8.0,"[1, 5, 6, 7, 9]",8
Be20.0Mg12.0Ni8.0Cu10.0Y2.0Zr36.0Nb12.0,"[1, 5, 6, 7, 9]",5
Be20.0Mg12.0Fe2.0Ni6.0Cu10.0Y2.0Zr36.0Nb12.0,"[1, 5, 6, 7, 9]",5
Al15.0Ni10.0Cu19.0Y2.0Zr54.0,"[1, 5, 6, 7]",5
Al14.0Ni10.0Cu19.0Y4.0Zr53.0,"[1, 5, 6, 7, 9]",5
Al16.3Ni12.0Cu20.7Zr51.0,"[1, 5, 6, 7, 9]",3
Al20.0Co25.0Zr55.0,"[1, 5, 9, 6]",2.5
Al7.0Cu43.0Zr48.0Ag2.0,"[1, 5, 6, 7, 9]",12
Al7.0Cu42.0Zr48.0Ag3.0,"[1, 5, 6, 7, 9]",10
Al7.0Cu40.0Zr48.0Ag5.0,"[1, 5, 6, 7]",10
Al7.0Cu37.0Zr48.0Ag8.0,"[1, 5, 6, 7, 9]",10
Cu48.0Zr50.0Ag2.0,"[1, 5, 6, 7, 9]",2
Cu45.0Zr50.0Ag5.0,"[1, 5, 6, 7, 9]",4
Cu43.0Zr50.0Ag7.0,"[1, 5, 6, 7, 9]",4
Cu40.0Zr50.0Ag10.0,"[1, 5, 6, 7, 9]",5
Cu38.0Zr50.0Ag12.0,"[1, 5, 6, 7]",4
B6.0C15.0Cr15.0Fe45.0Co3.0Y2.0Mo14.0,"[1, 2, 5, 6, 9]",8
B6.0C15.0Cr15.0Fe43.0Co5.0Y2.0Mo14.0,"[1, 2, 5, 6]",9
B6.0C15.0Cr15.0Fe39.0Co9.0Y2.0Mo14.0,"[1, 2, 5, 6]",10
B6.0C15.0Cr15.0Fe41.0Co7.0Y2.0Mo14.0,"[1, 2, 5, 6]",16
B15.0Fe61.0Co7.0Y2.0Zr8.0Mo7.0,"[1, 2, 5, 6, 9]",5
B15.0Al1.0Fe61.0Co6.0Y2.0Zr8.0Mo7.0,"[1, 2, 5, 6, 9]",5
B15.0Cr2.0Fe61.0Co5.0Y2.0Zr8.0Mo7.0,"[1, 2, 5, 6, 9]",5
B6.0C12.0Cr7.0Mn5.0Fe56.0Mo12.0Er2.0,"[1, 2, 5, 6, 9]",8
B6.0C15.0Fe63.0Mo14.0Er2.0,"[1, 2, 5, 6, 9]",3
B6.0C15.0Cr5.0Fe58.0Mo14.0Er2.0,"[1, 2, 5, 6, 9]",6
B6.7C6.9Al2.1Si2.5P8.8Cr2.2Fe68.3Mo2.5,"[1, 2, 5, 6, 9]",4
B17.0Fe74.0Y3.0Nb6.0,"[1, 2, 5, 6]",2
B10.0Si9.0P5.0Fe76.0,"[1, 2, 5, 6, 9]",2.5
B24.0Si1.5Ti3.0Fe27.0Co40.0Zr3.0Mo1.5,"[1, 2, 5, 6, 9]",1.5
B5.5C5.0P12.0Cr4.0Fe65.5Ga4.0Mo4.0,"[1, 2, 5, 6, 9]",3
B22.0Fe72.0Y6.0,"[1, 2, 5, 6, 9]",2
B22.0Fe71.0Ni1.0Y6.0,"[1, 2, 5, 6, 9]",2
B22.0Fe70.0Ni2.0Y6.0,"[1, 2, 5, 6, 9]",2
B22.0Fe69.0Ni3.0Y6.0,"[1, 2, 5, 6, 9]",1.5
B22.0Fe68.0Ni4.0Y6.0,"[1, 2, 5, 6]",1.5
B22.0Fe67.0Ni5.0Y6.0,"[1, 2, 5, 6, 9]",1
B22.0Fe70.0Co2.0Y6.0,"[1, 2, 5, 6]",2
B22.0Fe68.0Co4.0Y6.0,"[1, 2, 5, 6, 9]",2
B22.0Fe66.0Co6.0Y6.0,"[1, 2, 5, 6, 9]",2
B22.0Fe64.0Co8.0Y6.0,"[1, 2, 5, 6, 9]",2.5
B22.0Fe62.0Co10.0Y6.0,"[1, 2, 5, 6]",2.5
B22.0Fe60.0Co12.0Y6.0,"[1, 2, 5, 6, 9]",2.5
B22.0Fe58.0Co14.0Y6.0,"[1, 2, 5, 6]",2.5
B22.0Fe56.0Co16.0Y6.0,"[1, 2, 5, 6, 9]",2.5
B22.0Fe71.0Y6.0Mo1.0,"[1, 2, 5, 6, 9]",2.5
B22.0Fe70.0Y6.0Mo2.0,"[1, 2, 5, 6, 9]",3.5
B22.0Fe69.0Y6.0Mo3.0,"[1, 2, 5, 6, 9]",6
B22.0Fe68.0Y6.0Mo4.0,"[1, 2, 5, 6, 9]",6.5
B22.0Fe67.0Y6.0Mo5.0,"[1, 2, 5, 6]",3.5
B4.0C4.0Si2.0P10.0Fe74.0Ga2.0Mo4.0,"[1, 2, 5, 6]",1.5
B4.0C4.0Si2.0P10.0Fe75.0Ga3.0Mo2.0,"[1, 2, 5, 6, 9]",2.5
B4.0C4.0Si2.0P10.0Fe73.0Ga3.0Mo4.0,"[1, 2, 5, 6]",2
B4.0C4.0Si3.0P10.0Fe79.0,"[1, 2, 5, 6, 9]",1
B4.0C4.0Si3.0P10.0Fe78.0Mo1.0,"[1, 2, 5, 6]",1.5
B4.0C4.0Si3.0P10.0Fe77.0Mo2.0,"[1, 2, 5, 6, 9]",2.5
B4.0C4.0Si3.0P10.0Fe76.0Mo3.0,"[1, 2, 5, 6, 9]",3.5
B4.0C4.0Si3.0P10.0Fe75.0Mo4.0,"[1, 2, 5, 6, 9]",4
B4.0C4.0Si3.0P10.0Fe74.0Mo5.0,"[1, 2, 5, 6, 9]",3
Ni60.0Nb30.0Ta10.0,"[1, 5, 6, 7, 9]",2
Al4.0Ni61.0Zr28.0Nb7.0,"[1, 5, 6, 7, 9]",1
Al4.0Ni61.0Zr22.0Nb7.0Ta6.0,"[1, 5, 6, 7, 9]",2
Si5.0Ti16.0Ni59.0Zr20.0,"[1, 5, 9, 6]",2
Ti16.0Ni59.0Zr20.0Sn5.0,"[1, 5, 6, 7]",1
Si2.0Ti16.0Ni59.0Zr20.0Sn3.0,"[1, 5, 9, 6]",3
Al8.0Ti20.0Ni42.0Cu5.0Zr25.0,"[1, 7, 9, 6]",0.5
Al8.0Si2.5Ti20.0Ni42.0Cu5.0Zr22.5,"[1, 5, 9, 6]",2
Al8.0Si3.5Ti20.0Ni42.0Cu5.0Zr21.5,"[1, 5, 9, 6]",2.5
Al8.0Si4.5Ti20.0Ni42.0Cu5.0Zr20.5,"[1, 5, 9, 6]",2
Al8.0Si3.5Ti19.0Ni42.0Cu5.0Zr22.5,"[1, 5, 9, 6]",3
Ni60.0Nb40.0,"[1, 5, 6, 7, 9]",1
Ni60.0Zr5.0Nb35.0,"[1, 5, 6, 7, 9]",1.5
Ni60.0Zr10.0Nb30.0,"[1, 5, 6, 7, 9]",2
Ni60.0Zr15.0Nb25.0,"[1, 5, 6, 7, 9]",1.5
Ni60.0Zr20.0Nb20.0,"[1, 7, 9, 6]",0.5
Al5.0Ti2.5Ni60.0Zr20.0Nb12.5,"[1, 5, 6, 7, 9]",2
Al5.0Ti5.0Ni60.0Zr20.0Nb10.0,"[1, 5, 6, 7, 9]",2
Al5.0Ti7.5Ni60.0Zr20.0Nb7.5,"[1, 5, 6, 7, 9]",2
Al10.0Cu20.0Ce70.0,"[1, 5, 6, 7]",2
