bmg_alloy,paper_sno,actual_d_max
Al77.0Fe5.0Ce18.0,[9],0
Al24.0Sc20.0Co20.0Y36.0,"[1, 5, 6, 7, 9]",25
C2.0Al10.0Cu20.0Ce68.0,"[1, 5, 9, 6]",2
Al10.0Fe5.0Cu25.0Zr60.0,[5],20
C18.0Ni58.0Mo24.0,[9],0
B2.0C10.0P12.0Fe71.0Nb2.0Mo3.0,"[1, 5, 9, 6]",1
C10.0Si5.0Ni85.0,[9],0
Al15.0Ni15.0Cu10.0Ce60.0,"[9, 5, 7]",3
Si2.0Ti9.0Ni59.0Zr21.0Nb6.0Sn3.0,[5],3
Si88.0Ti2.0Zr10.0,[9],0
B2.0C8.0Si1.0P9.0Fe79.0Sn1.0,[2],3
Mg25.0Ca50.0Cu25.0,"[9, 5, 7]",9
Ni5.0Cu20.0Zr75.0,[9],0
B4.0C4.0P12.0Cr7.0Fe55.0Ni15.0Mo3.0,"[1, 6]",2.5
Mg60.0Si0.5Ni23.6Y0.5La15.7,"[1, 6]",1
Mg31.8Ca22.7Cu45.5,"[1, 5, 6, 7, 9]",1.25
Ti9.9Cu59.4Zr29.7Sn1.0,"[9, 7]",5
B4.0C4.0Si2.5P9.5Fe78.0Ga2.0,[2],2
Al94.0Ni4.0Nd2.0,[9],0
Ti10.0Ni40.0Cu50.0,[9],0
B2.0C9.0P9.0Cr16.0Fe64.0,[2],0.5
B6.0C13.0Cr10.0Fe60.0Mo9.0Er2.0,"[2, 5]",8
Al60.0Ni20.0Ce20.0,[9],0
Mg31.8Ca27.3Cu40.9,"[1, 5, 6, 7, 9]",3
B14.0Al8.0Co78.0,[9],0
Mg23.2Ca23.0Cu7.7Ag46.2,"[1, 6]",2
C22.0Fe74.0W4.0,[9],0
Cu52.5Ga5.0Zr42.5,"[9, 5, 7]",2
B6.0C15.0Cr15.0Co48.0Mo14.0Er2.0,"[1, 5, 6]",10
Ti10.0Ni5.0Cu45.0Zr30.0Ag10.0,"[1, 5, 6, 7, 9]",5
Si16.5Cu29.2Pd2.3Au52.0,"[1, 5, 9, 6]",2
Ni60.0Zr10.0Nb30.0,"[1, 5, 6, 7, 9]",2
B8.0Cr16.0Fe76.0,[9],0
C13.0Cr40.0Fe47.0,[9],0
B19.2Si4.8Fe21.6Ni50.4Nb4.0,[9],2.5
Si10.0P5.0Cu6.0Pd79.0,"[1, 5, 6]",5
Fe37.0Cu63.0,[9],0
Al16.0Co21.7Zr53.0Ag9.3,[5],16
Ti10.0Ni5.0Cu55.0Zr30.0,"[9, 5, 7]",2
B19.2Si4.8Fe14.4Ni57.6Nb4.0,[9],2
C15.0Si15.0Ni70.0,[9],0
Si10.0P5.0Cu5.0Pd79.0Ag1.0,"[1, 5, 9, 6]",4
B4.0C4.0Si2.0P10.0Cr6.0Fe70.0Ga2.0Mo2.0,[2],3
Al2.0Cu92.0Ce6.0,[9],0
B22.0Fe67.0Ni5.0Y6.0,"[1, 2, 5, 6, 9]",1
B50.0C8.0Ni42.0,[9],0
Ti17.0Ni20.0Cu14.0Zr49.0,"[1, 5, 6, 7, 9]",3
Mg18.2Ca40.9Cu40.9,"[1, 5, 6, 7, 9]",3
B14.2Si2.75P2.75Fe62.4Ni15.6Nb2.3,[2],1
Al8.0Ni16.0Cu6.0Zr70.0,"[1, 5, 6, 7]",8
Mg30.0Ca40.0Cu30.0,"[9, 7]",0.5
B6.0C16.0Cr4.0Mn10.0Fe49.0Mo14.0W1.0,[2],4
Cu52.5Ga7.5Zr40.0,"[9, 5, 7]",1.5
C15.0Cr10.0Fe64.0Mo9.0Er2.0,"[2, 5]",5
Al16.3Ni12.0Cu20.7Zr51.0,"[1, 5, 6, 7, 9]",3
Mg10.0Ca65.0Zn25.0,"[9, 5, 7]",2
P6.0Cu85.0Ag9.0,[9],0
Be20.0Ti20.0Ni5.0Cu15.0Zr20.0Hf20.0,"[1, 5, 6]",15
Mg15.0Ca55.0Cu30.0,"[9, 5, 7]",3
Mg58.0Cu24.8Ag6.2Gd11.0,[5],25
B17.0Si8.0Fe30.0Co30.0Ni15.0,[2],1.2
Ti6.0Cu44.2Zr35.0Ag14.7,"[1, 6]",8
B22.0Ti2.0Fe72.0Y4.0,"[9, 2, 5]",3
B8.0C13.0Cr15.0Fe42.0Co6.0Mo14.0Tm2.0,"[1, 6]",8
Mg33.3Ca33.3Ca33.3,"[1, 6]",3
Ti10.0Cu60.0Zr30.0,"[1, 5, 6, 7, 9]",4
B22.0Fe69.0Ni3.0Y6.0,"[1, 2, 5, 6, 9]",1.5
Al90.0Fe10.0,[9],0
Fe63.0Cu20.0Ag17.0,[9],0
Cu46.0Zr46.0Ag8.0,"[1, 5, 6, 7, 9]",4
Al70.0Cu15.0Ce15.0,[9],0
B4.0C4.0Si3.0P10.0Fe78.0Mo1.0,"[1, 2, 5, 6]",1.5
Si16.5Cu12.0Pd71.5,"[1, 5, 9, 6]",2
B4.0C4.0Si2.0P10.0Cr2.0Fe74.0Ga2.0Mo2.0,[2],2.5
B6.0C15.0Fe44.5Co19.5Mo14.0,[2],1.5
P19.0Co14.0Ni67.0,[9],0
Fe66.7Tb33.3,[9],0
Al80.0Ni5.0Ce15.0,[9],0
Fe29.0Cu8.0Ag63.0,[9],0
B19.2Si4.8Fe68.1Nb4.0Tb3.84,[9],3.5
B16.7Si8.3Fe71.7Zr3.3,[2],2.5
C20.0Fe64.0W16.0,[9],0
Be6.0Al8.0Cu31.6Zr46.0Ag8.36,"[5, 7]",35
Mg30.0Ca50.0Cu20.0,"[9, 5, 7]",2
Al86.0Co14.0,[9],0
B15.0C6.0Cr15.0Fe48.0Mo14.0Tm2.0,[2],1.5
Mg60.0Ni23.6Y0.75La15.6,"[1, 5, 6, 7, 9]",4
Al10.0Fe5.0Cu20.0Zr60.0Nb5.0,"[1, 6]",5
Cu15.0Ga15.0Ce70.0,"[1, 6]",3
Mg25.0Ca30.0Cu45.0,"[1, 5, 6, 7, 9]",2.5
Al88.0Mn2.0Co10.0,[9],0
Cu86.0Ag6.0Ce8.0,[9],0
Mg23.1Ca15.4Ag61.5,"[9, 7]",0.5
Al9.0Fe4.5Cu23.0Zr59.0Hf4.5,"[1, 6]",8
B22.0Fe72.0Y3.0W3.0,"[9, 5]",1
Be45.0Ti55.0,[9],0
B28.0Si12.0Ni60.0,[9],0
Mg20.0Ca55.0Cu25.0,"[9, 5, 7]",2
Al83.0Mn7.0Ce10.0,[9],0
B6.0P14.0Fe60.0Co20.0,[2],1.2
B15.0Si10.0Fe75.0,[2],0.25
B22.0Fe66.0Co6.0Y6.0,"[1, 2, 5, 6, 9]",2
Fe27.0Cu45.0Ag28.0,[9],0
C7.0P13.0Fe75.0Ni5.0,[2],2.5
C14.0Fe78.0W8.0,[9],0
C16.0Ni68.0Mo16.0,[9],0
Ti7.5Cu50.0Zr42.5,"[1, 5, 6, 7, 9]",5
Al8.0Cu36.0Zr42.0Pd6.0Ag8.0,"[1, 6]",20
B24.0Ni76.0,[9],0
Al6.0Cu50.0Zr42.0Ag2.0,"[1, 6]",9
B6.0C12.0Cr7.0Mn5.0Fe56.0Mo12.0Er2.0,"[1, 2, 5, 6, 9]",8
Al65.0V20.0Cu15.0,[9],0
B22.0Fe68.0Y6.0Nb4.0,[2],5
B30.0Mo70.0,[9],0
B20.0Si2.5Ni77.5,[9],0
Ti20.0Ni60.0Cu20.0,[9],0
Mg65.0Ni7.5Cu7.5Zn5.0Ag5.0Gd10.0,"[1, 5, 6, 7, 9]",11
B23.0Fe64.0Nb6.0Er7.0,[2],2
Al10.0Ni20.0Ce70.0,"[1, 5, 6, 7, 9]",1
B16.7Si8.3Fe71.0Cu0.7Zr3.3,[2],2
B3.0C18.0Cr15.0Fe49.0Mo14.0Er1.0,"[9, 2, 5]",4
Fe24.0Cu76.0,[9],0
B15.6Si7.8Fe72.5Cu0.7Zr1.7Nb1.7,[2],2.5
P22.0Co7.0Ni71.0,[9],0
Al25.0Co20.0Nd55.0,"[9, 5, 7]",2
Si2.0Ti16.0Ni59.0Zr17.0Nb3.0Sn3.0,[5],1
Be20.0Ti20.0Ni10.0Cu10.0Zr20.0Hf20.0,"[1, 5, 6]",25
Al48.0Ni15.0Ce70.0,"[1, 6]",1
Al89.0Mn2.0Ni9.0,[9],0
Mg3.2Al10.8Cu24.0La62.0,"[1, 5, 6, 7, 9]",10
Al10.0Ni12.5Cu15.5Nb5.0Ce57.0,"[9, 5, 7]",2
Ti7.0Cu46.4Zr35.0Ag11.6,"[1, 5, 6, 7, 9]",6
Ti15.0Cu60.0Hf25.0,"[1, 5, 6, 7]",4
Al23.5Co14.5Zr53.0Ag9.0,"[1, 6]",5
Mg20.0Ca50.0Cu25.0Zn5.0,"[9, 5]",10
C16.0Co74.0Mo10.0,[9],0
Al92.0Fe6.0Co2.0,[9],0
Mg50.0Ni30.0La20.0,"[1, 5, 6, 7, 9]",1
Mg25.0Ca65.0Zn10.0,[7],0.5
B17.0Fe74.0Y3.0Nb6.0,"[1, 2, 5, 6]",2
Mg60.0Cu20.0Ce20.0,[9],0
Al6.0Cu44.0Zr44.0Ag6.0,"[1, 5, 6, 7]",10
C7.0P13.0Fe50.0Ni30.0,[2],1.8
B5.0C7.0Si3.3P8.7Fe71.0Ni5.0,[2],3
Be26.3Al4.55Ti37.3Cu9.0Zr22.7,[5],10
Mg30.0Ni10.0Nd60.0,[9],0
Al25.0Zr75.0,[9],0
Mg60.0Ni10.0La30.0,[9],0
Ti20.0Ni30.0Cu50.0,[9],0
Al25.0Co20.0Ho55.0,"[9, 5, 7]",3
